PlayerID,PlayerName,birthDate,birthPlace,draft_pick,draft_round,draft_year,college,height,weight,shoots,position
181,Brandon Ingram,"September 2, 1997",USA,2nd overall,1st round,2016,Duke University,6-9,190lb,Right,Small Forward
182,Brandon Jennings,"September 23, 1989",USA,10th overall,1st round,2009,,6-1,170lb,Left,Point Guard
183,Brandon Knight,"December 2, 1991",USA,8th overall,1st round,2011,University of Kentucky,6-3,195lb,Right,Point Guard and Shooting Guard
184,Brandon Paul,"April 30, 1991",USA,,,,University of Illinois at Urbana-Champaign,6-4,200lb,Right,Shooting Guard
185,Brandon Roy,"July 23, 1984",USA,6th overall,1st round,2006,University of Washington,6-6,215lb,Right,Shooting Guard
186,Brandon Rush,"July 7, 1985",USA,13th overall,1st round,2008,University of Kansas,6-6,220lb,Right,Shooting Guard and Small Forward
187,Brandon Williams,"February 27, 1975",USA,,,,Davidson College,6-6,215lb,Right,Small Forward and Shooting Guard
188,Brendan Haywood,"November 27, 1979",USA,20th overall,1st round,2001,University of North Carolina,7-0,268lb,Right,Center
189,Brent Barry,"December 31, 1971",USA,15th overall,1st round,1995,Oregon State University,6-6,185lb,Right,Small Forward and Shooting Guard
190,Brent Price,"December 9, 1968",USA,32nd overall,2nd round,1992,"University of South Carolina, University of Oklahoma",6-1,165lb,Right,Point Guard
191,Brent Scott,"June 15, 1971",USA,,,,Rice University,6-10,250lb,Right,Power Forward
192,Brett Szabo,"February 1, 1968",USA,,,,Augustana College (SD),6-11,230lb,Right,Center
193,Brevin Knight,"November 8, 1975",USA,16th overall,1st round,1997,Stanford University,5-10,173lb,Right,Point Guard
194,Brian Cardinal,"May 2, 1977",USA,44th overall,2nd round,2000,Purdue University,6-8,245lb,Right,Power Forward and Small Forward
195,Brian Cook,"December 4, 1980",USA,24th overall,1st round,2003,University of Illinois at Urbana-Champaign,6-9,234lb,Right,Power Forward and Center
196,Brian Evans,"September 13, 1973",USA,27th overall,1st round,1996,Indiana University,6-8,220lb,Left,Small Forward
197,Brian Grant,"March 5, 1972",USA,8th overall,1st round,1994,Xavier University,6-9,254lb,Right,Small Forward and Power Forward and Center
198,Brian Roberts,"December 3, 1985",USA,,,,University of Dayton,6-1,173lb,Right,Point Guard
199,Brian Scalabrine,"March 18, 1978",USA,35th overall,2nd round,2001,University of Southern California,6-9,241lb,Right,Power Forward and Center
200,Brian Shaw,"March 22, 1966",USA,24th overall,1st round,1988,"Saint Mary's College of California, University of California, Santa Barbara",6-6,190lb,Right,Point Guard and Shooting Guard
201,Brian Skinner,"May 19, 1976",USA,22nd overall,1st round,1998,Baylor University,6-9,255lb,Right,Center and Power Forward
202,Brice Johnson,"June 27, 1994",USA,25th overall,1st round,2016,University of North Carolina,6-10,230lb,Right,Power Forward
203,Britton Johnsen,"July 8, 1979",USA,,,,University of Utah,6-10,210lb,Right,Small Forward and Center
204,Brook Lopez,"April 1, 1988",USA,10th overall,1st round,2008,Stanford University,7-0,270lb,Right,Center
205,Brooks Thompson,"July 19, 1970",USA,27th overall,1st round,1994,"Texas A&M University, Oklahoma State University",6-4,193lb,Left,Point Guard
206,Bruce Bowen,"June 14, 1971",USA,,,,"California State University, Fullerton",6-7,185lb,Right,Small Forward
207,Bruno Caboclo,"September 21, 1995",Brazil,20th overall,1st round,2014,,6-9,218lb,Right,Small Forward
208,Bruno Sundov,"February 10, 1980",Croatia,35th overall,2nd round,1998,,7-2,220lb,Right,Center
209,Bryant Reeves,"June 8, 1973",USA,6th overall,1st round,1995,Oklahoma State University,7-0,275lb,Right,Center
210,Bryant Stith,"December 10, 1970",USA,13th overall,1st round,1992,University of Virginia,6-5,208lb,Right,Shooting Guard
211,Bryce Cotton,"August 11, 1992",USA,,,,Providence College,6-1,165lb,Right,Point Guard
212,Bryce Dejean-Jones,"August 21, 1992",USA,,,,"University of Southern California, University of Nevada, Las Vegas, Iowa State University",6-6,209lb,Right,Shooting Guard
213,Bryce Drew,"September 21, 1974",USA,16th overall,1st round,1998,Valparaiso University,6-2,185lb,Right,Point Guard
214,Bryn Forbes,"July 23, 1993",USA,,,,Michigan State University,6-3,190lb,Right,Shooting Guard
215,Bryon Russell,"December 31, 1970",USA,45th overall,2nd round,1993,"California State University, Long Beach",6-7,225lb,Right,Shooting Guard and Small Forward
216,Bubba Wells,"July 26, 1974",USA,34th overall,2nd round,1997,Austin Peay State University,6-5,230lb,Right,Shooting Guard
217,Buck Williams,"March 8, 1960",USA,3rd overall,1st round,1981,University of Maryland,6-8,215lb,Right,Power Forward
218,Buddy Hield,"December 17, 1992",Bahamas,6th overall,1st round,2016,University of Oklahoma,6-4,214lb,Right,Shooting Guard
219,Byron Mullens,"February 14, 1989",USA,24th overall,1st round,2009,Ohio State University,7-0,275lb,Right,Power Forward and Center
220,Byron Scott,"March 28, 1961",USA,4th overall,1st round,1983,Arizona State University,6-3,195lb,Right,Point Guard and Shooting Guard
221,C.J. Watson,"April 17, 1984",USA,,,,University of Tennessee,6-2,175lb,Right,Point Guard
222,CJ McCollum,"September 19, 1991",USA,10th overall,1st round,2013,Lehigh University,6-3,190lb,Right,Shooting Guard
223,Cal Bowdler,"March 31, 1977",USA,17th overall,1st round,1999,Old Dominion University,6-10,245lb,Right,Small Forward and Power Forward
224,Calbert Cheaney,"July 17, 1971",USA,6th overall,1st round,1993,Indiana University,6-7,209lb,Left,Small Forward and Shooting Guard
225,Caleb Swanigan,"April 18, 1997",USA,26th overall,1st round,2017,Purdue University,6-9,250lb,Right,Power Forward
226,Calvin Booth,"May 7, 1976",USA,35th overall,2nd round,1999,Pennsylvania State University,6-11,230lb,Left,Center
227,Cameron Bairstow,"December 7, 1990",Australia,49th overall,2nd round,2014,University of New Mexico,6-9,250lb,Right,Center and Power Forward
228,Cameron Payne,"August 8, 1994",USA,14th overall,1st round,2015,Murray State University,6-3,190lb,Left,Point Guard
229,Caris LeVert,"August 25, 1994",USA,20th overall,1st round,2016,University of Michigan,6-7,204lb,Right,Small Forward
230,Carl Herrera,"December 14, 1966",Trinidad and Tobago,30th overall,2nd round,1990,"Jacksonville University, University of Houston",6-9,215lb,Right,Power Forward
231,Carl Landry,"September 19, 1983",USA,31st overall,2nd round,2007,Purdue University,6-9,248lb,Right,Power Forward
232,Carl Thomas,"October 3, 1969",USA,,,,Eastern Michigan University,6-4,175lb,Right,Shooting Guard
